														
Stagnation Pressure	Static Pressure	Stagnation Temperature	Manifold Pressure	Tank Pressure	Mach Number	Velocity	Static Temperature	Mass Flow	Static Density	Reynold's Number	BL Pstatic	Time	X	Y
psia	psia	degF	psig	psig	N/A	m/s	degF	kg/s	kg/m^3	N/A	psig	sec	in	in
28.909	3.577	105.024	37.467	286.054	2.021	531.369	-148.840	6.422	0.499	NaN	-9.704	167221.943	0.000	0.000
28.971	3.585	104.908	37.357	284.069	2.021	531.299	-148.889	6.437	0.501	NaN	-9.700	167222.054	0.000	0.000
28.940	3.589	104.344	37.312	283.642	2.019	530.839	-149.015	6.440	0.501	NaN	-9.705	167222.168	0.000	0.000
28.931	3.588	104.507	37.318	283.459	2.019	530.907	-148.916	6.438	0.501	NaN	-9.713	167222.294	0.000	0.000
28.912	3.591	104.644	37.350	283.644	2.018	530.844	-148.718	6.437	0.501	NaN	-9.710	167222.412	0.000	0.000
28.924	3.589	104.741	37.494	284.944	2.019	530.968	-148.739	6.436	0.501	NaN	-9.716	167222.523	0.000	0.000
28.913	3.586	104.599	37.349	283.688	2.019	530.946	-148.861	6.433	0.501	NaN	-9.711	167222.642	0.000	0.000
28.929	3.584	104.737	37.287	283.320	2.020	531.122	-148.890	6.432	0.500	NaN	-9.717	167222.756	0.000	0.000
28.965	3.586	104.808	37.488	284.868	2.020	531.203	-148.897	6.438	0.501	NaN	-9.709	167222.865	0.000	0.000
28.936	3.587	104.862	37.444	284.485	2.020	531.109	-148.754	6.435	0.501	NaN	-9.695	167222.981	0.000	0.000
28.953	3.588	104.905	37.429	284.465	2.020	531.160	-148.759	6.438	0.501	NaN	-9.707	167223.091	0.000	0.000
28.987	3.590	104.932	37.475	284.860	2.020	531.227	-148.796	6.443	0.501	NaN	-9.702	167223.206	0.000	0.000
28.972	3.593	104.823	37.459	284.550	2.019	531.055	-148.741	6.445	0.501	NaN	-9.703	167223.325	0.000	0.000
28.982	3.595	104.780	37.484	284.656	2.019	531.033	-148.763	6.447	0.502	NaN	-9.690	167223.445	0.000	0.000
29.043	3.598	104.835	37.507	284.984	2.020	531.163	-148.832	6.457	0.502	NaN	-9.694	167223.566	0.000	0.000
29.001	3.595	104.900	37.527	285.224	2.020	531.131	-148.736	6.449	0.502	NaN	-9.699	167223.679	0.000	0.000
29.012	3.596	104.967	37.525	285.267	2.020	531.178	-148.714	6.451	0.502	NaN	-9.688	167223.796	0.000	0.000
29.048	3.599	104.993	37.537	285.213	2.020	531.221	-148.730	6.457	0.502	NaN	-9.678	167223.908	0.000	0.000
29.007	3.603	105.006	37.463	284.631	2.018	531.002	-148.507	6.457	0.502	NaN	-9.689	167224.025	0.000	0.000
28.982	3.600	105.015	37.539	285.282	2.018	531.012	-148.508	6.451	0.502	NaN	-9.700	167224.142	0.000	0.000
29.057	3.598	105.013	37.621	285.775	2.020	531.299	-148.784	6.457	0.502	NaN	-9.701	167224.264	0.000	0.000
29.059	3.600	105.055	37.422	284.243	2.020	531.264	-148.709	6.459	0.502	NaN	-9.691	167224.381	0.000	0.000
29.021	3.599	105.026	37.589	285.596	2.019	531.146	-148.624	6.455	0.502	NaN	-9.693	167224.504	0.000	0.000
29.042	3.599	104.789	37.611	285.841	2.020	531.104	-148.822	6.458	0.502	NaN	-9.686	167224.635	0.000	0.000
29.009	3.597	104.819	37.577	285.509	2.019	531.078	-148.766	6.452	0.502	NaN	-9.694	167224.760	0.000	0.000
