														
Stagnation Pressure	Static Pressure	Stagnation Temperature	Manifold Pressure	Tank Pressure	Mach Number	Velocity	Static Temperature	Mass Flow	Static Density	Reynold's Number	BL Pstatic	Time	X	Y
psia	psia	degF	psig	psig	N/A	m/s	degF	kg/s	kg/m^3	N/A	psig	sec	in	in
15.256	14.113	79.362	6.319	57.899	0.335	114.854	67.501	3.229	1.162	4712053.970	-0.019	7768.236	0.000	0.000
15.269	14.109	79.220	6.411	52.270	0.338	115.642	67.196	3.252	1.162	4767823.428	-0.021	7768.346	0.000	0.000
15.276	14.080	79.318	6.499	52.836	0.343	117.520	66.900	3.300	1.160	4859556.538	-0.046	7768.458	0.000	0.000
15.283	14.086	79.415	6.554	53.108	0.343	117.505	67.001	3.300	1.161	4852888.952	-0.035	7768.573	0.000	0.000
15.282	14.079	79.487	6.648	53.850	0.344	117.853	66.999	3.308	1.160	4864745.612	-0.040	7768.692	0.000	0.000
15.291	14.088	79.592	6.703	54.288	0.344	117.796	67.116	3.308	1.161	4856041.275	-0.015	7768.803	0.000	0.000
15.299	14.058	79.710	6.757	54.592	0.350	119.690	66.830	3.356	1.159	4947804.761	-0.052	7768.922	0.000	0.000
15.274	14.040	79.804	6.822	55.203	0.349	119.473	66.971	3.345	1.157	4920478.209	-0.085	7769.035	0.000	0.000
15.307	14.060	79.914	6.894	55.706	0.351	119.974	66.973	3.364	1.159	4948023.125	-0.041	7769.143	0.000	0.000
15.320	14.052	79.988	7.005	56.573	0.354	121.004	66.823	3.391	1.158	5000418.114	-0.048	7769.252	0.000	0.000
15.326	14.058	80.084	7.115	57.521	0.353	120.939	66.934	3.390	1.158	4990455.835	-0.026	7769.364	0.000	0.000
15.328	14.061	80.170	7.113	57.306	0.353	120.934	67.021	3.390	1.158	4983779.845	-0.041	7769.493	0.000	0.000
15.334	14.041	80.125	7.178	57.781	0.357	122.118	66.716	3.421	1.158	5052070.855	-0.059	7769.608	0.000	0.000
15.368	14.065	80.174	7.273	58.494	0.358	122.500	66.682	3.437	1.160	5079409.750	-0.038	7769.733	0.000	0.000
