Y,StagnationPressure,StaticPressure,ManifoldPressure,BL_Pstatic
0,29.0230909090909,3.59836363636364,37.5295454545455,-9.69172727272727
0.01,29.0925,3.606125,37.65075,-9.670625
0.02,29.1578888888889,3.61211111111111,37.8005555555556,-7.38888888888889
0.03,29.2108888888889,3.62055555555556,37.8776666666667,-5.86755555555556
0.04,29.2562222222222,3.62544444444444,37.9643333333333,-4.99477777777778
0.05,29.3025555555556,3.63377777777778,38.0288888888889,-4.38955555555556
0.06,29.343375,3.638625,38.07325,-3.834875
0.07,29.363875,3.641,38.144375,-3.272375
0.08,29.4014444444445,3.64488888888889,38.1703333333333,-2.85933333333333
0.09,29.4455,3.65125,38.223125,-2.375
0.1,29.4566666666667,3.65255555555556,38.271,-2.00744444444444
0.11,29.4886666666667,3.65566666666667,38.3375555555556,-1.61633333333333
0.12,29.489,3.658125,38.33675,-1.2435
0.13,29.5153333333333,3.65833333333333,38.3686666666667,-0.975
0.14,29.5225,3.661125,38.348875,-0.636625
0.15,29.5184444444444,3.66088888888889,38.3998888888889,-0.339222222222222
0.16,29.546625,3.6655,38.41575,-0.12525
0.17,29.5616666666667,3.666,38.4586666666667,0.130333333333333
0.18,29.592875,3.671875,38.50775,0.444375
0.19,29.6044444444444,3.674,38.5187777777778,0.698
0.2,29.6125555555556,3.67211111111111,38.572,0.949
0.21,29.64375,3.679375,38.562125,1.18075
0.22,29.6291111111111,3.674,38.5093333333333,1.39888888888889
0.23,29.6056666666667,3.67211111111111,38.4892222222222,1.55711111111111
0.24,29.5776666666667,3.67155555555556,38.4611111111111,1.81866666666667
0.25,29.58575,3.672875,38.444125,1.964
0.26,29.5747777777778,3.66922222222222,38.4733333333333,2.28766666666667
0.27,29.62125,3.676125,38.470125,2.330875
0.28,29.6445555555556,3.67588888888889,38.5232222222222,2.69077777777778
0.29,29.6276666666667,3.67944444444444,38.5244444444444,2.82611111111111
0.3,29.6615,3.68025,38.558125,3.15425
0.31,29.6573333333333,3.68033333333333,38.5373333333333,3.28144444444444
0.32,29.65,3.67855555555556,38.5595555555555,3.48311111111111
0.33,29.627,3.678125,38.52275,3.582875
0.34,29.644,3.68222222222222,38.501,3.79233333333333
0.35,29.6155,3.67775,38.429,3.983875
0.36,29.6206666666667,3.67744444444444,38.4828888888889,4.05111111111111
0.37,29.627,3.67777777777778,38.4683333333333,4.29888888888889
0.38,29.6784444444444,3.68411111111111,38.4936666666667,4.49911111111111
0.39,29.66875,3.686375,38.54575,4.742
0.4,29.6685555555556,3.68544444444444,38.5715555555556,4.98155555555556
0.41,29.7211111111111,3.68866666666667,38.6345555555556,5.13577777777778
0.42,29.7173333333333,3.69122222222222,38.6558888888889,5.27388888888889
0.43,29.768875,3.695,38.736375,5.470125
0.44,29.7647777777778,3.69711111111111,38.7263333333333,5.609
0.45,29.7968888888889,3.7,38.8408888888889,5.85755555555555
0.46,29.841125,3.7045,38.856125,5.770125
0.47,29.8431111111111,3.70888888888889,38.8433333333333,5.99166666666667
0.48,29.839,3.707,38.8654444444444,6.15144444444444
0.49,29.8205,3.70425,38.798,6.30475
0.5,29.7748888888889,3.698,38.7884444444444,6.364
0.51,29.7514444444444,3.698,38.7441111111111,6.51433333333333
0.52,29.77275,3.69825,38.657,6.805
0.53,29.721,3.694,38.6742222222222,6.82011111111111
0.54,29.7477777777778,3.69811111111111,38.679,7.055
0.55,29.731125,3.69525,38.681125,7.147125
0.56,29.7545555555556,3.69433333333333,38.7148888888889,7.10222222222222
0.57,29.746,3.69733333333333,38.7134444444444,7.32133333333333
0.58,29.74375,3.6955,38.697625,7.378
0.59,29.7336666666667,3.69688888888889,38.6285555555556,7.59288888888889
0.6,29.7318888888889,3.69488888888889,38.6675555555556,7.69722222222222
0.61,29.714875,3.695375,38.6275,7.7475
0.62,29.727,3.694,38.5781111111111,7.81266666666667
0.63,29.6771111111111,3.69022222222222,38.6121111111111,7.88888888888889
0.64,29.707625,3.692125,38.634625,7.96275
0.65,29.7015555555556,3.69522222222222,38.5957777777778,7.99177777777778
0.66,29.71175,3.695,38.573125,8.15275
0.67,29.667375,3.68925,38.58175,8.17925
0.68,29.7256666666667,3.69688888888889,38.5943333333333,8.32088888888889
0.69,29.707875,3.695,38.614,8.392375
0.7,29.7114444444444,3.69611111111111,38.5617777777778,8.37433333333333
0.71,29.7074444444444,3.692,38.6305555555556,8.51933333333333
0.72,29.741125,3.696625,38.602875,8.59175
0.73,29.7266666666667,3.69666666666667,38.5977777777778,8.62055555555555
0.74,29.6937777777778,3.69022222222222,38.5686666666667,8.52633333333333
0.75,29.684625,3.691,38.562,8.533
0.76,29.6614444444444,3.68666666666667,38.5148888888889,8.56311111111111
0.77,29.67475,3.688625,38.503625,8.618
0.78,29.665875,3.690375,38.555,8.619875
0.79,29.6771111111111,3.688,38.5048888888889,8.59688888888889
0.8,29.647125,3.689,38.50175,8.541875
0.81,29.6667777777778,3.69122222222222,38.5081111111111,8.55866666666667
0.82,29.678375,3.694375,38.546,8.642375
0.83,29.6616666666667,3.69244444444444,38.4962222222222,8.65688888888889
0.84,29.6435,3.687125,38.504125,8.641375
0.85,29.6506666666667,3.687,38.4814444444444,8.65033333333333
0.86,29.6561111111111,3.68611111111111,38.4858888888889,8.71666666666667
0.87,29.6341111111111,3.68811111111111,38.5142222222222,8.71511111111111
0.88,29.649375,3.688375,38.4785,8.69025
0.89,29.624,3.68544444444444,38.474,8.75633333333333
0.9,29.63625,3.6865,38.494375,8.8155
0.91,29.6538888888889,3.68722222222222,38.4311111111111,8.85933333333333
0.92,29.6268888888889,3.687,38.4094444444444,8.83555555555556
0.93,29.6345,3.687,38.421375,8.852625
0.94,29.6006666666667,3.681,38.4392222222222,8.87377777777778
0.95,29.624625,3.683125,38.440375,8.867625
0.96,29.6011111111111,3.68333333333333,38.3878888888889,8.89044444444444
0.97,29.591125,3.682375,38.402625,8.947
0.98,29.5732222222222,3.67988888888889,38.3786666666667,8.91488888888889
0.99,29.6004444444444,3.68144444444444,38.3714444444444,8.96555555555556
1,29.5765,3.679,38.33475,8.978625
