Mach,Rayleigh_Pitot_P02_over_P1,Isentropic_P01_over_P1,P02_over_P01
2.25,7.00182212,11.56313541,0.605529717
2.26,7.059672622,11.74554433,0.601051124
2.27,7.117783681,11.93082197,0.596587871
2.28,7.176155241,12.11900964,0.592140402
2.29,7.234787246,12.31014922,0.587709143
2.3,7.293679641,12.50428307,0.583294508
2.31,7.352832373,12.7014541,0.578896897
2.32,7.412245391,12.90170578,0.574516697
2.33,7.471918644,13.10508209,0.57015428
2.34,7.531852081,13.31162759,0.565810005
2.35,7.592045656,13.52138738,0.561484221
2.36,7.65249932,13.73440712,0.557177259
2.37,7.713213027,13.95073305,0.552889443
2.38,7.774186731,14.17041197,0.548621081
2.39,7.83542039,14.39349127,0.54437247
2.4,7.89691396,14.62001891,0.540143895
2.41,7.958667397,14.85004346,0.53593563
2.42,8.020680662,15.08361407,0.531747937
2.43,8.082953714,15.3207805,0.527581066
2.44,8.145486512,15.56159312,0.523435258
2.45,8.20827902,15.80610291,0.519310741
2.46,8.271331198,16.05436146,0.515207734
2.47,8.33464301,16.30642102,0.511126445
2.48,8.398214419,16.56233444,0.507067071
2.49,8.462045391,16.82215521,0.503029801
2.5,8.52613589,17.0859375,0.499014812
2.51,8.590485883,17.35373609,0.495022273
2.52,8.655095336,17.62560644,0.491052343
2.53,8.719964217,17.90160467,0.487105172
2.54,8.785092495,18.18178757,0.483180901
2.55,8.850480137,18.46621261,0.479279662
2.56,8.916127114,18.75493795,0.475401579
2.57,8.982033395,19.04802242,0.471546767
2.58,9.048198952,19.34552556,0.467715334
2.59,9.114623755,19.64750762,0.463907379
2.6,9.181307777,19.95402954,0.460122992
2.61,9.24825099,20.26515302,0.456362258
2.62,9.315453368,20.58094043,0.452625253
2.63,9.382914883,20.9014549,0.448912046
2.64,9.45063551,21.2267603,0.445222699
2.65,9.518615223,21.55692124,0.441557267
2.66,9.586853998,21.89200307,0.437915798
2.67,9.655351811,22.23207192,0.434298335
2.68,9.724108636,22.57719468,0.430704912
2.69,9.793124452,22.92743899,0.427135558
2.7,9.862399235,23.28287331,0.423590298
2.71,9.931932963,23.64356685,0.420069147
2.72,10.00172561,24.00958963,0.416572118
2.73,10.07177716,24.38101249,0.413099217
2.74,10.14208759,24.75790705,0.409650443
2.75,10.21265688,25.14034577,0.406225793
2.76,10.28348501,25.52840191,0.402825255
2.77,10.35457196,25.9221496,0.399448816
2.78,10.4259177,26.32166376,0.396096455
2.79,10.49752223,26.72702019,0.392768148
2.8,10.56938551,27.13829555,0.389463866
2.81,10.64150754,27.55556735,0.386183576
2.82,10.71388829,27.97891396,0.38292724
2.83,10.78652775,28.40841464,0.379694815
2.84,10.85942589,28.84414955,0.376486257
2.85,10.93258271,29.28619973,0.373301514
2.86,11.00599818,29.7346471,0.370140535
2.87,11.07967229,30.18957454,0.367003261
2.88,11.15360502,30.65106581,0.363889631
2.89,11.22779636,31.1192056,0.360799581
2.9,11.30224628,31.59407955,0.357733045
2.91,11.37695478,32.07577423,0.354689951
2.92,11.45192184,32.56437718,0.351670225
2.93,11.52714744,33.05997687,0.34867379
2.94,11.60263157,33.56266276,0.345700568
2.95,11.67837422,34.07252528,0.342750475
2.96,11.75437537,34.58965584,0.339823426
2.97,11.830635,35.11414686,0.336919335
2.98,11.90715311,35.64609174,0.33403811
2.99,11.98392968,36.18558491,0.331179659
3,12.0609647,36.7327218,0.328343888
3.01,12.13825815,37.28759889,0.3255307
3.02,12.21581003,37.85031369,0.322739994
3.03,12.29362031,38.42096473,0.319971672
3.04,12.37168899,38.99965164,0.317225628
3.05,12.45001605,39.58647508,0.314501759
3.06,12.52860149,40.1815368,0.311799958
3.07,12.60744529,40.78493962,0.309120117
3.08,12.68654744,41.39678747,0.306462125
3.09,12.76590792,42.01718535,0.303825871
3.1,12.84552674,42.6462394,0.301211242
3.11,12.92540387,43.28405687,0.298618124
3.12,13.00553931,43.93074613,0.296046402
3.13,13.08593304,44.5864167,0.293495957
3.14,13.16658506,45.25117923,0.290966673
3.15,13.24749536,45.92514554,0.288458429
3.16,13.32866392,46.60842862,0.285971107
3.17,13.41009073,47.30114263,0.283504583
3.18,13.49177579,48.00340292,0.281058737
3.19,13.57371909,48.71532602,0.278633444
3.2,13.65592061,49.4370297,0.276228582
3.21,13.73838035,50.1686329,0.273844025
3.22,13.8210983,50.91025582,0.271479647
3.23,13.90407445,51.66201988,0.269135324
3.24,13.98730879,52.42404776,0.266810927
3.25,14.07080131,53.19646338,0.26450633
3.26,14.154552,53.97939193,0.262221405
3.27,14.23856087,54.77295987,0.259956024
3.28,14.32282788,55.57729497,0.257710058
3.29,14.40735305,56.39252627,0.255483377
3.3,14.49213636,57.21878413,0.253275853
3.31,14.5771778,58.05620023,0.251087356
3.32,14.66247737,58.90490757,0.248917755
3.33,14.74803505,59.76504049,0.246766921
3.34,14.83385085,60.63673468,0.244634724
3.35,14.91992474,61.5201272,0.242521032
3.36,15.00625674,62.41535646,0.240425716
3.37,15.09284682,63.32256228,0.238348643
3.38,15.17969499,64.24188585,0.236289685
3.39,15.26680122,65.17346977,0.23424871
3.4,15.35416553,66.11745806,0.232225587
3.41,15.4417879,67.07399615,0.230220186
3.42,15.52966832,68.04323093,0.228232377
3.43,15.61780679,69.02531072,0.226262028
3.44,15.70620331,70.0203853,0.22430901
3.45,15.79485785,71.02860594,0.222373192
3.46,15.88377043,72.05012536,0.220454445
3.47,15.97294103,73.08509781,0.218552639
3.48,16.06236965,74.13367902,0.216667645
3.49,16.15205627,75.19602623,0.214799333
3.5,16.24200091,76.27229824,0.212947574
3.51,16.33220354,77.36265536,0.211112241
3.52,16.42266416,78.46725946,0.209293204
3.53,16.51338278,79.58627399,0.207490337
3.54,16.60435937,80.71986395,0.20570351
3.55,16.69559395,81.86819594,0.203932599
3.56,16.78708649,83.03143815,0.202177475
3.57,16.878837,84.20976041,0.200438012
3.58,16.97084548,85.40333414,0.198714086
3.59,17.06311191,86.61233241,0.19700557
3.6,17.15563628,87.83692994,0.19531234
3.61,17.24841861,89.0773031,0.193634271
3.62,17.34145888,90.33362995,0.191971239
3.63,17.43475708,91.60609022,0.190323122
3.64,17.52831321,92.89486534,0.188689796
3.65,17.62212728,94.20013845,0.18707114
3.66,17.71619926,95.52209443,0.185467031
3.67,17.81052916,96.86091987,0.183877349
3.68,17.90511697,98.21680313,0.182301973
3.69,17.99996269,99.58993432,0.180740783
3.7,18.09506632,100.9805053,0.17919366
3.71,18.19042785,102.3887098,0.177660485
3.72,18.28604727,103.8147433,0.17614114
3.73,18.38192458,105.258803,0.174635509
3.74,18.47805978,106.721088,0.173143473
3.75,18.57445286,108.2017994,0.171664917
